surface,data,sensor,time
2,5,4,868.00
2,5,5,868.00
2,6,1,860.00
2,6,2,868.00
2,6,3,868.00
2,6,4,868.00
2,6,5,876.00
2,7,1,860.00
2,7,2,868.00
2,7,3,868.00
2,7,4,872.00
2,7,5,864.00
2,8,1,860.00
2,8,2,868.00
2,8,3,868.00
2,8,4,868.00
2,8,5,876.00
2,9,1,864.00
2,9,2,868.00
2,9,3,884.00
2,9,4,864.00
2,9,5,868.00
2,10,1,860.00
2,10,2,868.00
2,10,3,868.00
2,10,4,868.00
2,10,5,868.00
2,11,1,860.00
2,11,2,868.00
2,11,3,868.00
2,11,4,868.00
2,11,5,868.00
2,12,1,864.00
2,12,2,868.00
2,12,3,868.00
2,12,4,868.00
2,12,5,868.00
2,13,1,860.00
2,13,2,864.00
2,13,3,872.00
2,13,4,864.00
2,13,5,876.00
2,14,1,860.00
2,14,2,872.00
2,14,3,864.00
2,14,4,868.00
2,14,5,868.00
2,15,1,864.00
2,15,2,868.00
2,15,3,868.00
2,15,4,872.00
2,15,5,868.00
2,16,1,868.00
2,16,2,864.00
2,16,3,884.00
2,16,4,872.00
2,16,5,868.00
2,17,1,864.00
2,17,2,864.00
2,17,3,872.00
2,17,4,864.00
2,17,5,872.00
2,18,1,864.00
2,18,2,864.00
2,18,3,868.00
2,18,4,868.00
2,18,5,872.00
2,19,1,860.00
2,19,2,872.00
2,19,3,868.00
2,19,4,872.00
2,19,5,864.00
2,20,1,864.00
2,20,2,860.00
2,20,3,872.00
2,20,4,864.00
2,20,5,876.00
2,21,1,864.00
2,21,2,864.00
2,21,3,872.00
2,21,4,864.00
2,21,5,872.00
2,22,1,860.00
2,22,2,872.00
2,22,3,868.00
2,22,4,868.00
2,22,5,868.00
2,23,1,864.00
2,23,2,860.00
2,23,3,868.00
2,23,4,864.00
2,23,5,876.00
2,24,1,868.00
2,24,2,864.00
2,24,3,872.00
2,24,4,864.00
2,24,5,868.00
2,25,1,860.00
2,25,2,876.00
2,25,3,864.00
2,25,4,876.00
2,25,5,868.00
2,26,1,860.00
2,26,2,864.00
2,26,3,868.00
2,26,4,864.00
2,26,5,872.00
2,27,1,856.00
2,27,2,872.00
2,27,3,864.00
2,27,4,872.00
2,27,5,868.00
2,28,1,864.00
2,28,2,864.00
2,28,3,872.00
2,28,4,864.00
2,28,5,864.00
2,29,1,868.00
2,29,2,868.00
2,29,3,860.00
2,29,4,872.00
2,29,5,864.00
2,30,1,864.00
2,30,2,860.00
2,30,3,872.00
2,30,4,864.00
2,30,5,872.00
2,31,1,864.00
2,31,2,864.00
2,31,3,872.00
2,31,4,864.00
2,31,5,880.00
2,32,1,860.00
2,32,2,864.00
2,32,3,868.00
2,32,4,868.00
2,32,5,868.00
2,33,1,856.00
2,33,2,872.00
2,33,3,864.00
2,33,4,860.00
2,33,5,868.00
2,34,1,864.00
2,34,2,864.00
2,34,3,872.00
2,34,4,864.00
2,34,5,872.00
2,35,1,880.00
2,35,2,868.00
2,35,3,860.00
2,35,4,884.00
2,35,5,872.00
2,36,1,868.00
2,36,2,868.00
2,36,3,864.00
2,36,4,868.00
2,36,5,868.00
2,37,1,860.00
2,37,2,864.00
2,37,3,872.00
2,37,4,864.00
2,37,5,876.00
2,38,1,864.00
2,38,2,864.00
2,38,3,872.00
2,38,4,864.00
2,38,5,872.00
2,39,1,868.00
2,39,2,864.00
2,39,3,872.00
2,39,4,868.00
2,39,5,860.00
2,40,1,856.00
2,40,2,872.00
2,40,3,868.00
2,40,4,868.00
2,40,5,868.00
2,41,1,868.00
2,41,2,864.00
2,41,3,860.00
2,41,4,868.00
2,41,5,864.00
2,42,1,880.00
2,42,2,864.00
2,42,3,872.00
2,42,4,868.00
2,42,5,872.00
2,43,1,868.00
2,43,2,868.00
2,43,3,860.00
2,43,4,868.00
2,43,5,868.00
2,44,1,856.00
2,44,2,872.00
2,44,3,868.00
2,44,4,872.00
2,44,5,868.00
2,45,1,860.00
2,45,2,864.00
2,45,3,872.00
2,45,4,864.00
2,45,5,872.00
2,46,1,860.00
2,46,2,864.00
2,46,3,872.00
2,46,4,868.00
2,46,5,872.00
2,47,1,856.00
2,47,2,872.00
2,47,3,864.00
2,47,4,872.00
2,47,5,864.00
2,48,1,860.00
2,48,2,864.00
2,48,3,868.00
2,48,4,864.00
2,48,5,872.00
2,49,1,876.00
2,49,2,868.00
2,49,3,868.00
2,49,4,864.00
2,49,5,872.00
3,0,1,1324.00
3,0,2,1356.00
3,0,3,1340.00
3,0,4,1332.00
3,0,5,1344.00
3,1,1,1324.00
3,1,2,1328.00
3,1,3,1340.00
3,1,4,1328.00
3,1,5,1344.00
3,2,1,1320.00
3,2,2,1340.00
3,2,3,1332.00
3,2,4,1340.00
3,2,5,1332.00
3,3,1,1320.00
3,3,2,1344.00
3,3,3,1332.00
3,3,4,1344.00
3,3,5,1328.00
3,4,1,1328.00
3,4,2,1324.00
3,4,3,1340.00
3,4,4,1328.00
3,4,5,1344.00
3,5,1,1324.00
3,5,2,1340.00
3,5,3,1332.00
3,5,4,1336.00
3,5,5,1336.00
3,6,1,1316.00
3,6,2,1336.00
3,6,3,1340.00
3,6,4,1336.00
3,6,5,1336.00
3,7,1,1360.00
3,7,2,1336.00
3,7,3,1340.00
3,7,4,1340.00
3,7,5,1340.00
3,8,1,1332.00
3,8,2,1340.00
3,8,3,1340.00
3,8,4,1340.00
3,8,5,1340.00
3,9,1,1328.00
3,9,2,1340.00
3,9,3,1336.00
3,9,4,1336.00
3,9,5,1336.00
3,10,1,1332.00
3,10,2,1336.00
3,10,3,1336.00
3,10,4,1340.00
3,10,5,1336.00
3,11,1,1328.00
3,11,2,1344.00
3,11,3,1340.00
3,11,4,1340.00
3,11,5,1340.00
3,12,1,1328.00
3,12,2,1336.00
3,12,3,1332.00
3,12,4,1340.00
3,12,5,1344.00
3,13,1,1328.00
3,13,2,1336.00
3,13,3,1336.00
3,13,4,1340.00
3,13,5,1340.00
3,14,1,1332.00
3,14,2,1332.00
3,14,3,1336.00
3,14,4,1332.00
3,14,5,1336.00
3,15,1,1324.00
3,15,2,1336.00
3,15,3,1332.00
3,15,4,1336.00
3,15,5,1336.00
3,16,1,1328.00
3,16,2,1332.00
3,16,3,1336.00
3,16,4,1336.00
3,16,5,1336.00
3,17,1,1360.00
3,17,2,1332.00
3,17,3,1336.00
3,17,4,1336.00
3,17,5,1340.00
3,18,1,1332.00
3,18,2,1336.00
3,18,3,1348.00
3,18,4,1340.00
3,18,5,1340.00
3,19,1,1320.00
3,19,2,1340.00
3,19,3,1336.00
3,19,4,1340.00
3,19,5,1336.00
3,20,1,1328.00
3,20,2,1336.00
3,20,3,1340.00
3,20,4,1336.00
3,20,5,1336.00
3,21,1,1328.00
3,21,2,1336.00
3,21,3,1336.00
3,21,4,1340.00
3,21,5,1336.00
3,22,1,1328.00
3,22,2,1336.00
3,22,3,1336.00
3,22,4,1332.00
3,22,5,1336.00
3,23,1,1328.00
3,23,2,1332.00
3,23,3,1336.00
3,23,4,1348.00
3,23,5,1340.00
3,24,1,1332.00
3,24,2,1340.00
3,24,3,1336.00
3,24,4,1340.00
3,24,5,1336.00
3,25,1,1328.00
3,25,2,1340.00
3,25,3,1340.00
3,25,4,1352.00
3,25,5,1340.00
3,26,1,1328.00
3,26,2,1340.00
3,26,3,1336.00
3,26,4,1336.00
3,26,5,1340.00
3,27,1,1332.00
3,27,2,1336.00
3,27,3,1336.00
3,27,4,1336.00
3,27,5,1336.00
3,28,1,1328.00
3,28,2,1336.00
3,28,3,1336.00
3,28,4,1336.00
3,28,5,1348.00
3,29,1,1328.00
3,29,2,1340.00
3,29,3,1336.00
3,29,4,1336.00
3,29,5,1336.00
3,30,1,1332.00
3,30,2,1336.00
3,30,3,1336.00
3,30,4,1340.00
3,30,5,1332.00
3,31,1,1328.00
3,31,2,1336.00
3,31,3,1364.00
3,31,4,1364.00
3,31,5,1340.00
3,32,1,1328.00
3,32,2,1336.00
3,32,3,1336.00
3,32,4,1336.00
3,32,5,1340.00
3,33,1,1328.00
3,33,2,1340.00
3,33,3,1340.00
3,33,4,1336.00
3,33,5,1336.00
3,34,1,1328.00
3,34,2,1340.00
3,34,3,1336.00
3,34,4,1340.00
3,34,5,1364.00
3,35,1,1324.00
3,35,2,1340.00
3,35,3,1336.00
3,35,4,1336.00
3,35,5,1340.00
3,36,1,1332.00
3,36,2,1336.00
3,36,3,1336.00
3,36,4,1340.00
3,36,5,1340.00
3,37,1,1332.00
3,37,2,1336.00
3,37,3,1336.00
3,37,4,1340.00
3,37,5,1348.00
3,38,1,1328.00
3,38,2,1340.00
3,38,3,1340.00
3,38,4,1364.00
3,38,5,1336.00
3,39,1,1328.00
3,39,2,1352.00
3,39,3,1340.00
3,39,4,1340.00
3,39,5,1340.00
3,40,1,1328.00
3,40,2,1340.00
3,40,3,1340.00
3,40,4,1348.00
3,40,5,1340.00
3,41,1,1328.00
3,41,2,1340.00
3,41,3,1336.00
3,41,4,1336.00
3,41,5,1340.00
3,42,1,1328.00
3,42,2,1340.00
3,42,3,1348.00
3,42,4,1340.00
3,42,5,1336.00
3,43,1,1328.00
3,43,2,1336.00
3,43,3,1340.00
3,43,4,1340.00
3,43,5,1332.00
3,44,1,1332.00
3,44,2,1336.00
3,44,3,1332.00
3,44,4,1360.00
3,44,5,1336.00
3,45,1,1328.00
3,45,2,1340.00
3,45,3,1336.00
3,45,4,1344.00
3,45,5,1340.00
3,46,1,1332.00
3,46,2,1336.00
3,46,3,1336.00
3,46,4,1336.00
3,46,5,1340.00
3,47,1,1328.00
3,47,2,1340.00
3,47,3,1340.00
3,47,4,1340.00
3,47,5,1336.00
3,48,1,1332.00
3,48,2,1332.00
3,48,3,1340.00
3,48,4,1336.00
3,48,5,1364.00
3,49,1,1328.00
3,49,2,1336.00
3,49,3,1340.00
3,49,4,1348.00
3,49,5,1344.00
4,0,1,1592.00
4,0,2,1640.00
4,0,3,1620.00
4,0,4,1612.00
4,0,5,1612.00
4,1,1,1600.00
4,1,2,1628.00
4,1,3,1612.00
4,1,4,1612.00
4,1,5,1612.00
4,2,1,1600.00
4,2,2,1612.00
4,2,3,1628.00
4,2,4,1612.00
4,2,5,1612.00
4,3,1,1604.00
4,3,2,1616.00
4,3,3,1612.00
4,3,4,1624.00
4,3,5,1612.00
4,4,1,1604.00
4,4,2,1612.00
4,4,3,1612.00
4,4,4,1624.00
4,4,5,1616.00
4,5,1,1604.00
4,5,2,1612.00
4,5,3,1612.00
4,5,4,1632.00
4,5,5,1612.00
