1,0,1,864
1,0,2,636
1,0,3,572
1,0,4,624
1,0,5,852
1,1,1,872
1,1,2,636
1,1,3,572
1,1,4,624
1,1,5,872
1,2,1,868
1,2,2,636
1,2,3,572
1,2,4,624
1,2,5,852
1,3,1,868
1,3,2,636
1,3,3,568
1,3,4,624
1,3,5,852
1,4,1,868
1,4,2,636
1,4,3,572
1,4,4,628
1,4,5,856
1,5,1,868
1,5,2,636
1,5,3,572
1,5,4,628
1,5,5,856
1,6,1,872
1,6,2,636
1,6,3,572
1,6,4,624
1,6,5,852
1,7,1,868
1,7,2,636
1,7,3,572
1,7,4,632
1,7,5,856
1,8,1,868
1,8,2,636
1,8,3,616
1,8,4,628
1,8,5,852
1,9,1,872
1,9,2,640
1,9,3,572
1,9,4,628
1,9,5,856
1,10,1,872
1,10,2,640
1,10,3,572
1,10,4,624
1,10,5,856
1,11,1,868
1,11,2,636
1,11,3,572
1,11,4,628
1,11,5,856
1,12,1,872
1,12,2,636
1,12,3,572
1,12,4,628
1,12,5,856
1,13,1,868
1,13,2,640
1,13,3,576
1,13,4,628
1,13,5,856
1,14,1,872
1,14,2,636
1,14,3,576
1,14,4,628
1,14,5,856
1,15,1,872
1,15,2,636
1,15,3,572
1,15,4,628
1,15,5,856
1,16,1,872
1,16,2,640
1,16,3,572
1,16,4,624
1,16,5,852
1,17,1,872
1,17,2,640
1,17,3,576
1,17,4,628
1,17,5,856
1,18,1,872
1,18,2,640
1,18,3,576
1,18,4,628
1,18,5,856
1,19,1,872
1,19,2,640
1,19,3,576
1,19,4,628
1,19,5,852
1,20,1,872
1,20,2,636
1,20,3,576
1,20,4,628
1,20,5,852
1,21,1,872
1,21,2,640
1,21,3,572
1,21,4,628
1,21,5,856
1,22,1,868
1,22,2,640
1,22,3,572
1,22,4,628
1,22,5,852
1,23,1,872
1,23,2,640
1,23,3,572
1,23,4,628
1,23,5,852
1,24,1,872
1,24,2,636
1,24,3,584
1,24,4,632
1,24,5,856
1,25,1,872
1,25,2,636
1,25,3,572
1,25,4,628
1,25,5,856
1,26,1,868
1,26,2,640
1,26,3,572
1,26,4,628
1,26,5,856
1,27,1,872
1,27,2,640
1,27,3,576
1,27,4,632
1,27,5,856
1,28,1,872
1,28,2,640
1,28,3,576
1,28,4,628
1,28,5,856
1,29,1,872
1,29,2,640
1,29,3,572
1,29,4,628
1,29,5,856
1,30,1,872
1,30,2,636
1,30,3,576
1,30,4,628
1,30,5,856
1,31,1,872
1,31,2,636
1,31,3,576
1,31,4,628
1,31,5,852
1,32,1,868
1,32,2,636
1,32,3,572
1,32,4,628
1,32,5,856
1,33,1,868
